,,,,,,, จำนวนเงินทั้งหมด , ค่าของจากใบเสร็จ ,เหลือ,,,,,,,
,,,,,,," 181,800.00 "," 167,737.02 "," 14,062.98 ",,,,,,,
 เงิน ,รายละเอียด,ลำดับ,ลำดับในบิล,วันที่ในบิล,รายการ,จำนวน, ราคา , ราคารวม ,ชื่อร้าน,หมายเหตุ,,,,,,
" 90,000.00 ",ซื้อของทำไฟ,1,1,12/21/19,ค่าน้ำมัน,1, 700.00 , 700.00 ,ปั้ม,TI5274Q0352A-1912-000773,,,,,,
" 12,000.00 ",ซื้อราง,2,1,12/16/19,หลอดยาว <LED> 16W/DL-PL อีคิฟิ,30, 105.00 ," 3,150.00 ",ชัยวัฒน์,CL6205003,,,,,,
" 4,800.00 ",,3,2,12/16/19,ภาษี 7%,7%,, 220.50 ,ชัยวัฒน์,CL6205003,,,,,,
" 30,000.00 ",เซฟตี้ สายเมน ซิลิโคน,4,1,12/21/19,สาย Cat.5 US-9015 Link/305M,2," 2,000.00 "," 4,000.00 ",ชัยวัฒน์,CL6205091,,,,,,
" 45,000.00 ",,5,2,12/21/19,มัลติมิเตอร์ ST-855A Yamada,1, 470.00 , 470.00 ,ชัยวัฒน์,CL6205091,,,,,,
,,6,3,12/21/19,ภาษี 7%,7%,, 312.90 ,ชัยวัฒน์,CL6205091,,,,,,
,,7,1,12/20/19,สาย IEC01 ~THW 2.5MM2-YA/G,1, 570.00 , 570.00 ,ชัยวัฒน์,CL6205067,,,,,,
,,8,2,12/20/19,สาย IEC01 ~THW 4MM2-YA/B,2, 880.00 ," 1,760.00 ",ชัยวัฒน์,CL6205067,,,,,,
,,9,3,12/20/19,สาย IEC01 ~THW 4MM2-YA/R,2, 880.00 ," 1,760.00 ",ชัยวัฒน์,CL6205067,,,,,,
,,10,4,12/20/19,"ปลายสว่าน 8x3/4""",100, 0.80 , 80.00 ,ชัยวัฒน์,CL6205067,,,,,,
,,11,5,12/20/19,สาย Cat.5 US-9015 Link/305M,2," 2,000.00 "," 4,000.00 ",ชัยวัฒน์,CL6205067,,,,,,
,,12,6,12/20/19,ภาษี 7%,7%,, 571.90 ,ชัยวัฒน์,CL6205067,,,,,,
,,13,1,12/19/19,ค่าน้ำมัน,,, 670.00 ,ปั้ม,19010031199,,,,,,
,,14,1,12/21/19,Yazaki สายไฟ THW 1x2.5 sq.mm.,8, 545.00 ," 4,360.00 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,15,2,12/21/19,Yazaki สายไฟ THW 1x4 sq.mm.,12, 840.00 ," 10,080.00 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,16,3,12/21/19,Link US-9015 สายแลน Lan Cat5e (305M),2," 1,920.00 "," 3,840.00 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,17,4,12/21/19,สกรูเกลียวปล่อย 1 1/4 นิ้ว (กล่อง 1000 ตัว),1, 210.00 , 210.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,18,5,12/21/19,รางเก็บสายไฟ MT3265 สีขาว Leetech,30, 104.00 ," 3,120.00 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,19,6,12/21/19,Link US-1005SC1 ปลั๊กแลนตัวเมีย CAT5e LAN RJ45,60, 44.00 ," 2,640.00 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,20,7,12/21/19,Link US-1001 แลนตัวผู้ Lan CAT5e,2, 37.00 , 74.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,21,8,12/21/19,Link US-2006 ตัวแปลง อแดปเตอร์ใส่ PANA,80, 8.80 , 704.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,," 51,749.10 ", -   ," 19,010,036,641.00 ",
,,22,9,12/21/19,Panasonic หน้ากาก 1 ช่อง WEG-6801WK สีขาว,1, 14.00 , 14.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,23,10,12/21/19,Panasonic หน้ากาก 2 ช่อง WEG-6802WK สีขาว,13, 14.00 , 182.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,24,11,12/21/19,ดาว์ไลท์ Essento TOWER 5 นิ้ว สีดำ Racer,6, 143.00 , 858.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,25,12,12/21/19,Philips หลอด Led Bulb 19w/day,6, 165.00 , 990.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,,
,,26,13,12/21/19,Panasonic สวิตซ์ทางเดียว WEG-5001K สีขาว,7, 24.00 , 168.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,, 700.00 
,,27,14,12/21/19,บ๊อกลอย 2x4 D,4, 7.00 , 28.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,," 4,000.00 "
,,28,15,12/21/19,อลูมิเนียม แบน,0.5, 150.00 , 75.00 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,, 470.00 
,,29,16,12/21/19,ภาษี 7%,7%,," 1,914.01 ",แสงใหม่การไฟฟ้า,SS00119-007606,,,,,, 312.90 
,,30,17,12/21/19,ส่วนลด 0.01,-1, 0.01 ,-0.01 ,แสงใหม่การไฟฟ้า,SS00119-007606,,,,,," 4,360.00 "
,,31,1,12/21/19,รางลีเทค L-MT3265,150, 30.00 ," 4,500.00 ",ลีวัฒนา โปรดักส์,TC6200665,,,,,," 10,080.00 "
,,32,2,12/21/19,ส่วนลด 28%,28%,-1.00 ,"-1,260.00 ",ลีวัฒนา โปรดักส์,TC6200665,,,,,," 3,840.00 "
,,33,3,12/21/19,ภาษี 7%,7%,, 226.80 ,ลีวัฒนา โปรดักส์,TC6200665,,,,,, 210.00 
,,34,1,12/21/19,แด๊ปFOX ,1, 620.00 , 620.00 ,ชัยเกษมฮาร์ดแวร์,2721,,,,,," 3,120.00 "
